PCGS,TAS,PCG14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,H14REL,H14M1,H14M2,H14M4,H14M5,H14M6,H14M7,H14M8,H14M9,H14M10,H14M11,H14M12,H14M13,H14M14,H14M15,H14M16,H14M17,H14M18,H14M19,H14M20,H14M21,H14M22,H14M23,H14M24,H14M25,H14Q3,H14S9,H14S10,H14S19,H14S20,H14S21,H14S22,H14S28,H14CDSHID,H14PSIDFLG,H14INST,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
1,,1.1,,,,,,,,2,6,177,0,0,0,0,0,0,0,0,0,4,1,2,1,0,1,0,0,0,0,0,6,913,9999,99,99,999,9,6,918,9999,99,99,2019,3,1,2012,8,2015,5,2013,99,9999,99,9999,2019,1,4,2010,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,6475,0,0,,,4764,0,0,,,847,0,0,,,4787,2,20,,,8860,2,20,,,2,7,2,4,1,1,2,1,1,1,5,5,1,4,1,1,1,4,4,1,1,2,4,4,4,1,4,1,2,4,5,5,5,8,1,2,7525,2,20,,,7810,2,20,,
1,,1.1,,,,,,,,2,7,33,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,4,1955,4,2,995,1,7,172,9999,99,99,2017,1,4,2002,99,9999,99,9999,99,9999,99,9999,2019,1,10,1998,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,1056,2,20,,,170,2,20,,,589,2,20,,,532,2,20,,,3387,2,20,,,2,7,5,1,1,1,1,1,1,1,1,1,5,3,2,3,3,3,2,2,2,4,3,3,3,3,2,1,0,0,4,4,5,12,1,2,6213,2,20,,,4769,2,20,,
1,,1.1,,,,,,,,2,7,36,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,171,1956,5,1,995,1,7,5,1957,5,1,2019,4,5,2001,5,2009,5,2006,7,2003,99,9999,2019,1,10,2000,5,99,9999,3,2012,99,9999,9,99,9999,99,9999,5,0,0,1968,0,1394,2,20,,,800,2,20,,,1005,2,20,,,477,2,20,,,5796,1,10,,,2,7,5,5,1,1,1,1,2,1,1,1,1,3,2,2,2,3,3,2,2,3,3,3,3,0,4,1,10,0,4,5,5,13,1,1,3959,1,10,,,5898,1,10,,
,4,,,1,1,1,1,,,2,7,39,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,171,1956,5,3,120,1,7,5,1957,5,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,571,2,30,,,1154,3,30,4,6,6730,1,10,3,6,83,1,10,2,5,6276,1,10,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5421,1,10,,,5069,1,10,,
1,6,1.1,,1,1,1,1,1,1,2,7,40,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,171,1956,5,4,110,1,7,5,1957,5,4,2019,2,6,2008,6,2011,99,9999,99,9999,99,9999,2019,1,8,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2013,1968,0,571,3,30,,,482,2,30,4,2,3836,2,22,3,5,177,2,22,2,5,4127,2,22,2,5,2,7,2,3,1,3,4,5,1,3,1,1,1,4,2,3,1,4,4,2,1,4,4,4,4,1,3,5,0,0,5,5,5,16,1,2,3786,2,20,2,6,4690,2,20,2,4
,3,,,,1,1,,1,,2,7,41,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,30,1972,3,1,67,2,7,185,1972,3,1,2019,1,8,2016,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,562,2,30,,,1411,2,30,,,576,2,30,3,2,1100,3,30,2,4,2820,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2,60,2,3,4360,2,60,,
,1,,,,,,,,1,2,7,42,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,171,1956,5,5,114,1,7,5,1957,5,5,2019,1,3,2017,99,9999,99,9999,99,9999,99,9999,2019,1,9,2014,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,571,4,30,,,482,3,30,,,290,2,30,,,183,2,30,,,6202,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6262,1,10,,,4139,1,10,2,5
,4,,,,,1,1,1,1,2,7,44,0,5,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,2,0,0,7,30,1972,3,3,998,2,7,185,1972,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,562,4,30,,,1411,4,30,,,576,4,30,,,1100,5,30,2,6,8359,1,10,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5709,1,10,2,3,4261,1,10,2,5
1,3,1.1,,,,,1,1,1,2,7,45,0,5,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,175,1973,2,1,998,1,7,31,1973,2,1,2019,3,2,2011,7,2018,7,2013,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,82,3,30,,,904,3,30,,,272,3,30,,,43,3,30,,,3305,3,30,2,5,2,7,2,5,1,3,3,3,3,3,1,1,1,3,3,3,2,2,3,2,3,2,3,3,3,1,4,1,2,0,4,5,5,10,1,3,3856,1,10,2,5,3854,1,10,2,4
1,3,1.1,,,,,1,1,1,2,7,46,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,34,1974,3,1,119,1,7,177,1970,3,1,2019,2,3,2011,9,2014,99,9999,99,9999,99,9999,2019,1,10,2011,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2015,1968,0,104,3,33,,,2208,2,30,,,4986,2,30,,,6885,2,30,,,8696,2,20,2,4,2,7,2,5,1,1,5,5,5,1,1,5,1,4,4,3,3,3,3,1,1,2,3,4,4,3,4,1,0,0,5,5,5,15,1,2,7575,2,20,2,6,5879,2,20,2,5
,2,,,,,,,1,1,2,7,47,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,1,0,2,2013,2013,7,34,1974,3,2,122,1,7,177,1970,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,104,4,33,,,2208,3,30,,,4986,3,30,,,6885,3,30,,,8696,72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6743,2,22,2,5,5233,2,22,2,6
,1,,,,,,,,1,2,7,48,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,1,0,2,2013,2013,7,34,1974,3,3,106,1,7,177,1970,3,3,2019,1,1,2017,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2017,1968,0,104,5,33,,,2208,4,30,,,4986,4,30,,,6885,4,30,,,8696,73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7575,5,47,,,6798,1,10,2,6
,1,,,,,,,,1,2,7,49,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,2,0,0,7,175,1973,2,2,998,1,7,31,1973,2,2,2019,2,11,2017,11,2018,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,82,4,30,,,904,4,30,,,272,4,30,,,43,4,30,,,3305,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2733,3,30,,,5140,1,10,2,4
1,,1.1,,,,,,,,2,7,175,0,0,0,0,0,0,0,0,0,8,2,2,1,0,1,0,0,5,0,0,0,0,9999,99,99,999,9,7,922,9999,99,99,2017,2,12,1992,10,1998,99,9999,99,9999,99,9999,2017,1,12,1992,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,82,2,20,,,904,2,20,,,272,2,20,,,43,2,20,,,3305,2,20,,,2,2,1,4,1,1,5,4,5,4,1,1,1,4,3,3,3,2,3,2,3,2,3,3,3,2,3,1,0,0,4,5,5,10,1,2,2733,2,20,,,3831,2,20,,
,1,,,,,,,,1,2,7,206,0,0,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,3,0,0,0,0,9999,99,99,999,9,7,3,9999,99,99,2019,1,8,2017,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,345,0,0,,,178,0,0,,,412,0,0,,,550,0,0,,,6441,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,30,,,4873,1,10,2,6
1,,1.1,,,,,,,,2,10,32,0,5,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,10,6,1963,3,1,105,1,10,176,1961,3,1,2019,1,9,2009,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,523,2,30,,,6742,2,30,,,3276,2,30,,,8551,2,30,,,7473,2,30,,,2,7,5,5,1,3,5,1,5,1,1,1,1,3,2,3,2,3,3,2,1,2,4,4,4,0,5,1,15,2,5,5,5,17,1,2,6871,2,30,,,1458,2,30,,
1,4,1.1,,,1,,1,1,1,2,10,34,0,5,0,0,0,0,0,0,0,27,2,2,1,0,1,0,0,2,0,0,10,6,1963,3,2,115,1,10,176,1961,3,2,2019,2,8,2011,9,2018,99,9999,99,9999,99,9999,2019,1,5,2016,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2019,1968,0,523,3,30,,,6742,3,30,,,3276,3,30,3,6,8869,1,10,,,7423,2,22,2,6,2,7,4,4,1,1,1,1,2,1,5,1,1,3,2,2,1,4,4,1,1,2,4,4,3,0,4,1,0,0,5,5,5,19,1,1,5033,1,10,2,6,1566,2,20,2,6
,4,,,,,1,1,1,1,2,10,35,0,5,0,0,0,0,0,0,0,27,2,1,1,0,1,0,1,2,0,0,10,6,1963,3,3,105,1,10,176,1961,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,523,4,30,,,6742,4,30,,,3276,4,30,,,8551,3,30,2,6,7473,3,30,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5033,4,40,2,6,1744,1,10,2,4
1,,1.1,,,,,,,,2,10,181,0,0,0,0,0,0,0,0,0,27,2,1,1,0,1,0,1,0,0,0,10,923,9999,99,99,999,9,0,0,9999,99,99,2015,1,4,2006,99,9999,99,9999,99,9999,99,9999,2019,1,4,2001,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,819,1,10,,,6905,1,10,,,4256,1,10,,,4144,1,10,,,6082,1,10,,,2,7,5,1,1,1,1,1,1,1,5,1,1,1,1,3,1,4,4,3,1,3,4,4,4,3,3,1,0,0,5,5,5,18,1,1,5006,1,10,,,1510,1,10,,
,4,,1,1,1,1,,,,2,14,30,0,5,0,0,0,0,0,0,0,14,2,1,1,1,1,0,0,2,2005,2005,14,172,1966,2,1,116,1,14,4,1963,2,1,2019,1,10,2015,99,9999,99,9999,99,9999,99,9999,2019,1,10,2013,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2017,1968,0,736,51,30,5,5,3621,3,30,4,5,5994,3,30,3,5,1685,3,30,2,4,6491,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4735,1,10,,,2521,1,10,,
1,5,1.1,,1,1,1,1,1,,2,14,31,0,5,0,0,0,0,0,0,0,14,2,2,1,0,1,0,0,2,0,0,14,172,1966,2,2,91,1,14,4,1963,2,2,2019,2,1,2013,1,2018,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,2019,1968,0,736,3,30,,,4149,2,22,4,3,713,1,10,3,4,1780,1,10,2,4,1284,1,10,2,5,2,7,3,5,2,2,4,1,1,1,1,1,1,4,2,2,1,3,4,1,2,3,3,2,3,0,3,5,0,0,5,4,5,21,1,1,7731,1,10,2,4,1669,2,22,,
,4,,,,,1,1,1,1,2,14,32,0,5,0,0,0,0,0,0,0,14,2,1,1,1,1,0,0,2,2015,2011,14,3,1956,2,1,110,1,14,173,1961,2,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,677,3,30,,,2668,3,30,,,126,3,30,,,964,51,30,2,5,1865,52,30,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2839,52,30,2,5,2400,1,10,2,5
,3,,,,,,1,1,1,2,14,33,0,0,0,0,0,0,0,0,0,14,2,2,1,1,1,0,0,2,2015,2013,14,3,1956,2,2,108,1,14,173,1961,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,677,4,30,,,2668,4,30,,,126,4,30,,,964,3,30,,,1865,51,30,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2839,51,30,2,5,1723,1,10,2,5
1,,1.1,,,,,,,,2,16,32,0,5,0,0,0,0,0,0,0,14,2,2,1,0,1,0,0,2,0,0,16,3,1961,2,2,991,1,16,170,1957,2,2,2019,2,10,2004,9,2009,99,9999,99,9999,99,9999,2019,1,5,2006,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,1850,2,22,,,1894,2,20,,,6533,2,20,,,471,2,20,,,5453,2,20,,,2,7,3,5,1,5,5,5,1,1,5,1,1,4,1,1,1,1,4,1,1,1,4,4,4,1,4,1,2,0,5,5,5,22,1,2,3464,2,20,,,5969,2,20,,
,1,,,,,,,,1,2,16,34,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,0,1,2,2019,2013,16,4,1966,2,2,118,1,16,172,1958,2,2,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1063,3,30,,,3618,3,30,,,8053,3,30,,,8403,3,30,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6761,3,30,,,9035,3,30,2,6
1,,1.1,,,,,,,,2,16,171,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,0,1,5,2005,1989,16,906,9999,99,99,999,9,16,905,9999,99,99,2007,3,10,1982,6,1997,3,1990,99,9999,99,9999,2019,1,1,1982,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,0,0,0,,,7254,2,20,,,6161,2,20,,,2211,2,20,,,1163,2,20,,,2,6,4,3,3,2,3,3,4,2,5,5,1,3,4,4,4,4,4,4,3,3,4,4,4,2,4,1,0,0,4,4,4,23,1,2,4663,2,20,,,5223,2,20,,
,1,,,,,,,,1,2,16,174,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,1,0,3,2009,2009,16,171,1962,3,2,998,1,16,5,1962,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1063,4,71,,,7254,3,30,,,6161,71,30,,,4483,1,10,,,8959,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8487,1,10,,,6436,1,10,2,5
1,,1.1,,,,,,,,2,18,31,0,0,0,0,0,0,0,0,0,14,2,2,1,0,1,1,1,2,1992,1982,18,171,9999,99,99,999,9,18,5,1952,2,1,2017,3,6,1994,5,1997,6,1994,99,9999,99,9999,2019,2,1,1994,3,12,2010,99,9999,2,2019,1,99,9999,99,9999,1,0,0,1968,0,1321,2,20,,,940,2,20,,,3582,2,20,,,395,1,10,,,5977,1,10,,,2,6,4,2,1,1,1,1,1,1,5,5,1,4,1,1,1,4,4,1,1,3,4,4,4,0,4,1,0,0,5,5,5,24,1,1,879,1,10,,,4401,1,10,,
1,,1.1,,,,,,,,2,18,36,0,5,0,0,0,0,0,0,0,14,2,2,1,1,1,0,1,2,2019,1999,18,172,1953,3,3,995,1,18,4,1953,3,3,2015,2,4,2000,9,2007,99,9999,99,9999,99,9999,2015,2,9,1999,4,6,2002,12,2001,4,2007,1,99,9999,99,9999,1,0,0,1968,0,6012,1,10,,,1497,1,10,,,3769,2,20,,,974,2,20,,,7500,2,20,,,2,7,5,5,1,2,3,5,5,1,5,5,1,4,2,1,1,4,4,2,1,3,4,4,4,1,4,1,25,10,4,5,4,27,1,2,3368,2,20,,,0,0,0,,
,2,,1,1,,,,,,2,18,38,0,5,0,0,0,0,0,0,0,14,2,2,1,0,1,0,1,2,2013,2013,18,170,1955,2,2,156,1,18,3,1956,2,2,2019,2,9,2009,7,2013,99,9999,99,9999,99,9999,2019,1,5,2009,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,2015,1968,0,5647,3,98,5,6,1047,1,10,4,6,7651,2,20,,,2272,2,20,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,2,20,,,7631,2,20,,
,3,,,,,,1,1,1,2,18,39,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,1,2,0,0,18,31,1972,3,1,91,1,18,183,1971,3,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1321,3,30,,,940,3,30,,,3582,3,30,,,395,2,30,,,5977,2,30,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,2,30,2,5,4401,2,30,2,5
,2,,,,,,,1,1,2,18,40,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,0,1,2,0,0,18,31,1972,3,2,107,1,18,183,1971,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,1321,4,30,,,940,4,30,,,3582,4,30,,,395,3,30,,,5977,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,3,30,2,3,4401,3,30,2,5
,1,,,,,,,1,,2,18,41,0,0,0,0,0,0,0,0,0,14,2,1,1,0,1,1,0,2,2019,2019,18,185,1974,5,2,115,1,18,35,1974,2,1,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5937,3,30,,,7955,4,35,,,5016,4,33,,,2916,4,33,,,7557,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223,1,10,2,5,9570,3,30,,
